,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
0,1,spotify:track:6Ajvu1afirjocbZK934qqh,"Simba La Rue, Tony Boy, FT Kings",AYAHUASCA (feat. Tony Boy),Warner Music,1,-1,1,2883089,1,Italy
1,2,spotify:track:2DkiFEQ1ihXcYKaIRsfGFp,Marracash,LEI,Universal Music Italia srL.,1,1,4,2561363,1,Italy
2,3,spotify:track:62OO2X47vPk5WxTx68HDqg,"Artie 5ive, Niky Savage",BAMBOLA (feat. Niky Savage),Warner Music,2,2,4,2318847,1,Italy
3,4,spotify:track:4X4R6qsIicxIQIFbnDcJLO,"Olly, Juli",Scarabocchi,Epic,4,4,11,2125314,1,Italy
4,5,spotify:track:41lOxc6ARYZPXpKeMWcHsD,Pinguini Tattici Nucleari,Islanda,Epic,1,3,8,2120888,1,Italy
5,6,spotify:track:2L16IuIQgLL1HupWGN4F4t,Cesare Cremonini,Ora che non ho più te,Universal Music Italia srL.,1,5,16,1977553,1,Italy
6,7,spotify:track:1QcmAp6Ev2HuYxKujUwnw0,Alfa,il filo rosso,Artist First,2,6,12,1892424,1,Italy
7,8,spotify:track:4MtjrbmBKdYRMTyEHqOUmM,Marracash,GLI SBANDATI HANNO PERSO,Universal Music Italia srL.,2,8,4,1858925,1,Italy
8,9,spotify:track:5nFyfjGy6AMZqkW0OMUWJJ,"Olly, Angelina Mango, Juli",Per due come noi,Epic,1,7,18,1694591,1,Italy
9,10,spotify:track:00URgxWgyVoybGLhhmKr7g,"Baby Gang, Omega, Higashi, Roberto Ferrante",Tu Me Quieres - Prod. by Higashi x Roberto Ferrante,Baby Gang / Planet Records [Powered by Planet Distribution],10,10,17,1665436,1,Italy
10,11,spotify:track:2O8jjjtyEfXliQ6vdtdPvH,"Papa V, Nerissima Serpe, Fritu",Tip Tap,UNIKAL,3,9,6,1549794,1,Italy
11,12,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,12,14,12,1517149,1,Italy
12,13,spotify:track:3yFgWoossjlaJ919XDCG4C,"Simba La Rue, FT Kings, Sick Luke",MI PIACCIONO LE ARMI,Warner Music,1,11,12,1448859,1,Italy
13,14,spotify:track:3XOcMFFT6Oo2ZCXLJ9lqdT,"Geolier, Rose Villain, Poison Beatz",TU ED IO (feat. Rose Villain),Warner Music,8,12,7,1399281,1,Italy
14,15,spotify:track:75Y6WgUldQN8mipAVLy8KJ,"Olly, Juli",Quei ricordi là,Epic,15,21,11,1263088,1,Italy
15,16,spotify:track:1ej2NcW0CHnscPp1RZpr1V,"Olly, Juli",Devastante,Epic,9,16,44,1262291,1,Italy
16,17,spotify:track:1GVDt0vn0wJ1QemPfMEWTU,Ghali,Niente Panico,Warner Music,16,19,13,1260849,1,Italy
17,18,spotify:track:5MJc4IVIt17xEt6angtZcq,Lazza,BUIO DAVANTI,Universal Music Italia srL.,8,29,16,1247258,1,Italy
18,19,spotify:track:7sj9VfVtmcEZBDbRAsVXWY,"ANNA, Niky Savage",TT LE GIRLZ (feat. Niky Savage),Universal Music Italia srL.,1,15,28,1204296,1,Italy
