,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
0,1,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1,1,12,1436926,1,Netherlands
1,2,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1,2,21,1345419,1,Netherlands
2,3,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,3,5,12,1127192,1,Netherlands
3,4,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,4,6,34,994736,1,Netherlands
4,5,spotify:track:0vrKBjEBQAVn3sdhIXmpHE,Yves Berendse,Terug In De Tijd,Dino Music,1,3,34,977713,1,Netherlands
5,6,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,6,11,5,918401,1,Netherlands
6,7,spotify:track:2QwAzwjpruvSZ83t7wlZVD,Martin Morero,Spijt Is Voor Later,Dino Music,3,4,4,878067,1,Netherlands
7,8,spotify:track:3nHuKdFJZm78CoeBnDcFKe,Teddy Swims,Bad Dreams,Warner Records,5,10,17,852642,1,Netherlands
8,9,spotify:track:2VyvDGdcVY04cNYou9MFVX,"PAWSA, The Adventures Of Stevie V",Dirty Cash (Money Talks),Altra Moda Music,9,9,8,779750,1,Netherlands
9,10,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,4,12,20,754416,1,Netherlands
10,11,spotify:track:2K7HqkHEUfz7c4BzEO33Qd,"Yves Berendse, Emma Heesters",Alleen Met Jou,Dino Music,7,8,15,718897,1,Netherlands
11,12,spotify:track:2usgKLp2V6HTqOXh9rlETr,"Kevin, Idaly",SOS,Animal Stories / Noah’s Ark BV,9,15,5,696218,1,Netherlands
12,13,spotify:track:1b6G5YNi5akoOpwlqnulH8,"Noano, Ronnie Flex",Damage,"Universal Music, a division of Universal International Music BV",1,14,11,653908,1,Netherlands
13,14,spotify:track:5o0osRx8kYJTOqlOSggr9Z,Alex Warren,Carry You Home,Atlantic Records,12,19,32,634663,1,Netherlands
14,15,spotify:track:4xTjO1NgHBEbINFUQ9Kgao,Robert van Hemert,"Zoet, Zout, Zuur",Cornelis Music,4,7,50,610642,1,Netherlands
15,16,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,5,18,20,600430,1,Netherlands
16,17,spotify:track:3HcIbVeDYLg8u2DiqM4zuT,"Sven Versteeg, Likke Pêhp",Blikkendag,Dino Music,17,17,9,589150,1,Netherlands
17,18,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,3,22,73,566298,1,Netherlands
18,19,spotify:track:6u6yLaxKWGQAUdzbisoGUM,"Mensa, SRNO",chille guy,"Mensa/SKW Records, under exclusive license to Amuseio AB",16,16,5,563450,1,Netherlands
19,20,spotify:track:4MSj19TwYBLgDFj3ddEeco,"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),UROK,5,21,25,560732,1,Netherlands
