,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
0,1,spotify:track:0BUkQGUXgcvf3gdCWYbtnJ,"Oruam, Zé Felipe, MC Tuto, Mc Rodrigo do CN, Dj Lc da Roça, MC K9, mc pl alves",Oh Garota Eu Quero Você Só Pra Mim,Mainstreet Records,1,1,3,801306,1,Portugal
1,2,spotify:track:5lGXgWvY60L80gKGk5Clgc,Plutonio,Interestelar,Bridgetown Records,1,2,10,584177,1,Portugal
2,3,spotify:track:4pOGEJRVOuaa9oyy7qTGf6,"Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo",Fui Mlk,WMD,3,5,6,445293,1,Portugal
3,4,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,1,4,21,408967,1,Portugal
4,5,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",5,7,12,368269,1,Portugal
5,6,spotify:track:6s1kzj4EbhFLXbuAGJbhbn,"MC Tuto, DJ Glenner",Barbie,Sonar Music,2,3,12,355972,1,Portugal
6,7,spotify:track:0NQyryTVbjGMtWMA1eSqIn,"J. Eskine, Alef Donk",Resenha do Arrocha,Latin Brega by HITLAB Records,6,6,4,311314,1,Portugal
7,8,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,6,10,12,307149,1,Portugal
8,9,spotify:track:5Bp7TFENcgsdLCL8fMOSKs,"Supernova Ent, G.A, Ghard, Veigh, Niink","Adora a bunda, odeia o rosto (feat. Veigh & Niink)",Supernova Entertainment,9,9,4,294402,1,Portugal
9,10,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,2,11,34,291690,1,Portugal
10,11,spotify:track:4TnEIYOXZ9KBGHOIqG5Xs5,"PEDRO SAMPAIO, Marina Sena",ESCADA DO PRÉDIO,WM Brazil,8,17,14,262064,1,Portugal
11,12,spotify:track:5TOvA5Uhxti7FPh0EIdClV,"MC LUUKY, DJ JB Mix",Malvadinho,EDITORA E GRAVADORA A BASE RECORDS,3,8,9,261213,1,Portugal
12,13,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,10,15,16,258585,1,Portugal
13,14,spotify:track:0qGRWcPOMkkt7edm4wMVRf,Plutonio,País das Maravilhas,Bridgetown Records,3,13,10,236137,1,Portugal
14,15,spotify:track:4jUZymsR3lkia9wkP0o9cX,"DJ TOPO, Mc Livinho",MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1,DJ TOPO,12,12,11,235021,1,Portugal
15,16,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,16,22,4,231591,1,Portugal
16,17,spotify:track:3cwVKjzKSTfvacYJF6Tkub,Léo Foguete,Última Noite - Solo,Sua Música Digital,17,20,9,228203,1,Portugal
17,18,spotify:track:6WatFBLVB0x077xWeoVc2k,KAROL G,Si Antes Te Hubiera Conocido,Bichota/Interscope Records,2,14,28,221804,1,Portugal
18,19,spotify:track:2drZGdAOxfE2KoMGTkidmq,"MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael",365 Dias (Vida Mansa),Legenda Records,16,16,14,205663,1,Portugal
19,20,spotify:track:4VhSwcMCrXQgEfwls3s46o,Plutonio,Deja Vu,Bridgetown Records,2,19,9,202078,1,Portugal
20,21,spotify:track:1UQvRmRhbX3WxSLW3NbUIU,Calema,Amar Pela Metade,Klasszik / Mondja,18,28,14,197657,1,Portugal
