rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:19LWPpXTX49k1KANJ46ydb","Turisti","Diana","WM Finland",1,1,2,"654361"
2,"spotify:track:2gThkoApt6B7ajBWZRLAVv","KAJ","Bara Bada Bastu","WM Sweden",2,-1,1,"602133"
3,"spotify:track:728CCaVme0Ppv8zrG9caYE","Ares","Menestys on paras tapa kostaa","WM Finland",1,3,8,"568736"
4,"spotify:track:5FWF6wWO488FWlljL3Fgo3","JVG","Rehellisesti","PME Records",1,2,4,"518228"
5,"spotify:track:3rDcrOoZrJkcfw6hAiS81v","Ege Zulu","Nostetaan malja","PME Records",5,-1,1,"448054"
6,"spotify:track:52NFoPnzxOKPIcJIQ9mb5Q","Erika Vikman","ICH KOMME","WM Finland",1,4,6,"443427"
7,"spotify:track:3P1pM5vlWSugzuBlVKRZjG","Ares, Bizi","T-paita (feat. Bizi)","WM Finland",2,6,5,"413576"
8,"spotify:track:4d7xDAIBA521hbsGZieQvQ","Isac Elliot","Ehkä Se Siitä","WM Finland",3,8,4,"403855"
9,"spotify:track:56gErvTUBhx82XqEauET28","Nelli Matula","Hitaammin hautaan","Universal Music Oy",2,7,7,"388605"
10,"spotify:track:2gYKkaZDgonVODfPQBQtW3","Aliisa Syrjä, Robin Packalen","Leijonanruokaa","WM Finland",10,-1,1,"367157"
11,"spotify:track:3wRxUXh6dJLurn1RgLIeUD","william, AHTI","Lampaita","WM Finland",11,-1,1,"362722"
12,"spotify:track:0HB5nPu3zdtVTvtsrgLc27","Mouhous","Huppu pääs","WM Finland",5,5,2,"353192"
13,"spotify:track:7fdNCtxfZArtOZK3hLqqm3","Turisti","Taikuri","WM Finland",1,11,23,"353107"
14,"spotify:track:3e2mYXFNuwiXChs7frlpQc","Annika Eklund, BESS, Eini, Keira, Laura Voutilainen, Linda Lampenius","Shanghain valot - UMK edit","WM Finland",10,10,3,"351977"
15,"spotify:track:0DbUrs6t9JLcFx3EsMcPY3","Bizi","Ikävä mua","PME Records",9,9,2,"341050"
16,"spotify:track:5ZLUm9eab8y3tqQ1OhQSHI","Lady Gaga","Abracadabra","Interscope Records",8,13,4,"324025"
17,"spotify:track:0uBQFamFpphOS27wIXPeiT","VIIVI","Aina","WM Finland",3,12,7,"278200"
18,"spotify:track:6zLzNEyVqtyZoohE75maSy","Averagekidluke","Diva","WM Finland",1,18,15,"255914"
19,"spotify:track:4gmir4Q2IHvYB94pPP1TYW","Jore & Zpoppa","Hän","WM Finland",13,22,3,"252965"
20,"spotify:track:36lT6tdND08VVvv3HwbhZD","Mirella","Timanttei","Universal Music Oy",1,21,60,"244913"
21,"spotify:track:4xlcLdfBSMO56LEbhfbVtx","Goldielocks","Made Of","Sony Music Entertainment Finland",8,14,7,"244096"
22,"spotify:track:17MJxFMzJkmy1f9m1ubTS3","costee","Sekaisin","WM Finland",5,16,7,"234354"
23,"spotify:track:4d4jaU4L2WiA4m181RaaWG","william, Isac Elliot","Anteeks","WM Finland",2,19,13,"233679"
24,"spotify:track:5CbkZJipjT198pDW8v3k2u","Ares, Averagekidluke, Turisti","Iha miten vaa","WM Finland",2,26,18,"226382"
25,"spotify:track:7M5FtK02ZXpfuWxQvLghZH","Danitello, Jami Faltin","Ei hyvää ilman pahaa (feat. Jami Faltin)","Sony Music Entertainment Finland",25,-1,1,"220013"
26,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",11,25,28,"215920"
27,"spotify:track:4n6PzDyWGkjAVRl74aR8Pb","Sliki, Turisti","Ne oli vääräs (feat. Turisti)","Sony Music Entertainment Finland",5,30,16,"213120"
28,"spotify:track:2qo5CfTfodd6h69qSirj9W","Bizi","Päivä joka meidät pilaa","PME Records",14,20,6,"208305"
29,"spotify:track:3gEmQZnsmDrttYiBM2WYdD","Mirella, Lauri Haav","Luotathan","Universal Music Oy",1,37,39,"202520"
30,"spotify:track:71hoYrgo1nxzWp9hfhu0Fi","Averagekidluke, Turisti","Vitun hyvin","WM Finland",1,35,28,"194349"
31,"spotify:track:76NMPdhz29sqm6pOnRkhd6","Käärijä, Hooja","San Francisco Boy","WM Finland",7,23,4,"192692"
32,"spotify:track:4OUdNzrfhl2AVu0qTNUIkz","AHTI, Isac Elliot","Sun luokse","WM Finland",2,29,22,"191526"
33,"spotify:track:5A5sHRQoeJHzMULQGPLoOV","ibe","Marraskuu","Skorpioni",1,31,17,"190824"
34,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",17,17,25,"190378"
35,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",15,32,19,"186955"
36,"spotify:track:74mrMx3a96hGBzVfxNx6g2","Pyhimys","Valo pimeän","Universal Music Oy",3,165,31,"182112"
37,"spotify:track:73kBsYMLlAQFcGym49f74g","Turisti, Sexmane","Lightskinboy (feat. Sexmane)","WM Finland",6,36,40,"179127"
38,"spotify:track:3YxP03ZZuWO31SoE0uigI3","Ares","Ɐ","WM Finland",3,27,5,"178283"
39,"spotify:track:4il87YHqSV9UqbBkXM7z7m","Tate McRae","Sports car","RCA Records Label",39,75,5,"172336"
40,"spotify:track:1JA6J5kzRNUYagv2WmjxqY","Costi","Musta hevonen","PLAYMAKER",15,15,2,"169074"
41,"spotify:track:0msAT2TjdYnHHCkS2WajM4","Isac Elliot, Miriam Bryant","Otan Kii","WM Finland",3,41,27,"166423"
42,"spotify:track:14wiEbecEf1jSWiflaxHvA","Turisti, ibe","Kiireinen nainen (feat. ibe)","WM Finland",1,43,74,"157549"
43,"spotify:track:6OKQ4Zca1qPutoAP70WDJY","kia","bändipaita","WM Finland",8,33,5,"152940"
44,"spotify:track:3OkipxzNcMVBDdtp0193hA","Jore & Zpoppa, Turisti","Dead Presidents","WM Finland",5,47,20,"151748"
45,"spotify:track:5FDmZWWDKd875GWf7v6sOd","Averagekidluke","Trap Queen","WM Finland",9,42,26,"148879"
46,"spotify:track:47p94jgL5CekzREJnOp3M0","Mirella","Löytää mut","Universal Music Oy",1,62,26,"147151"
47,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",19,38,24,"146403"
48,"spotify:track:62fvSFu3kdDzTd0z5LQcnX","JVG","Tili tuli, tili meni","PME Records",4,45,7,"145425"
49,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",9,46,28,"143577"
50,"spotify:track:4YnIOIdNBEwosJdAoePC08","MD$, Ares","Totti Freestyle (feat. Ares)","Sony Music Entertainment Finland",50,-1,1,"135540"
51,"spotify:track:6jRJ1RAvdNxC1TG03VRFVg","Averagekidluke","On / Off","WM Finland",3,52,26,"134915"
52,"spotify:track:4SzyvEZEyXIYiIe4rpsxcO","Etta","Sata shottii","WM Finland",2,59,19,"134487"
53,"spotify:track:5eI0ESdNu0U2eiHdCQ9imT","Portion Boys","Sä et ole yksin","Sony Music Entertainment Finland",34,34,2,"132147"
54,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",54,-1,1,"129223"
55,"spotify:track:31lZDgdGLl7bzGcVqtuWdr","Costi, Juuna Chill","Vaisto (feat. Juuna Chill)","PLAYMAKER",2,54,37,"126615"
56,"spotify:track:0NDi2CgFxwY78d1CcVxzBw","Sexmane","Kuka Siin Netis On","Sene Records",6,39,4,"125351"
57,"spotify:track:0SUcbn6qR8N07qb7QOIkN2","Ege Zulu, Behm","Tunnista tuntiin","PME Records",1,67,56,"124535"
