rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0BUkQGUXgcvf3gdCWYbtnJ","Oruam, Zé Felipe, MC Tuto, Mc Rodrigo do CN, Dj Lc da Roça, MC K9, mc pl alves","Oh Garota Eu Quero Você Só Pra Mim","Mainstreet Records",1,1,10,"591326"
2,"spotify:track:0NQyryTVbjGMtWMA1eSqIn","J. Eskine, Alef Donk","Resenha do Arrocha","Latin Brega by HITLAB Records",2,3,11,"528425"
3,"spotify:track:5lGXgWvY60L80gKGk5Clgc","Plutonio","Interestelar","Bridgetown Records",1,4,17,"419311"
4,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,2,8,"417519"
5,"spotify:track:4pOGEJRVOuaa9oyy7qTGf6","Nilo, Mc Paiva ZS, DJ Di Marques, Tropa da W&S, FamousKyo","Fui Mlk","WMD",3,6,13,"394207"
6,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",1,8,28,"336668"
7,"spotify:track:3TnSAp3TfGMYptOqv234uK","MC Tuto, Grelo","Do Job","Sonar Music",7,11,12,"311315"
8,"spotify:track:6VH6SBNNL2RVWwImq046ce","Boladin 211, Dejinha, MC Rick","Penélope Charmosa 2","Kave",6,10,6,"302936"
9,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",6,7,14,"274285"
10,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",4,5,37,"272989"
11,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",11,14,11,"267300"
12,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",5,12,19,"257822"
13,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",2,9,46,"252942"
14,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",6,15,19,"252881"
15,"spotify:track:6s1kzj4EbhFLXbuAGJbhbn","MC Tuto, DJ Glenner","Barbie","Sonar Music",2,16,19,"252445"
16,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",2,13,41,"250339"
17,"spotify:track:456hxgSVUAJVgPV0UncG68","DENNIS, Luísa Sonza","MOTINHA 2.0 (Mete Marcha)","Sony Music Entertainment",17,26,4,"237341"
18,"spotify:track:1UQvRmRhbX3WxSLW3NbUIU","Calema","Amar Pela Metade","Klasszik / Mondja",18,20,21,"226212"
19,"spotify:track:6x6EA3N9xXgptSakS7VZUg","GORDÃO DO PC, Mc Menor DN, Mc Leozin, Ana Laura Lopes","FANTASMA (versão GORDÃO DO PC)","Alt Music",19,19,8,"223542"
20,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",2,22,35,"223184"
21,"spotify:track:4jUZymsR3lkia9wkP0o9cX","DJ TOPO, Mc Livinho","MTG NA IMAGINAÇÃO - TOPO SESSIONS VOL. 1","DJ TOPO",12,28,18,"222867"
22,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",4,18,8,"213134"
23,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",10,21,23,"212407"
24,"spotify:track:77HhVmRv7IxDqkyMxElSrK","Anitta, Mc Danny, HITMAKER","Sei Que Tu Me Odeia","Universal Music Ltda.",24,31,4,"207429"
25,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",4,23,57,"197489"
26,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",6,24,8,"195094"
27,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",15,17,14,"189675"
28,"spotify:track:0qGRWcPOMkkt7edm4wMVRf","Plutonio","País das Maravilhas","Bridgetown Records",3,30,17,"187315"
29,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",13,27,41,"184806"
30,"spotify:track:1kJml4AvYDxIMcJVt7nYlL","Mizzy Miles, Slow J, Gson","Champions League (with Slow J & Gson)","Sony Music Entertainment",9,25,6,"182341"
31,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",31,-1,1,"181776"
32,"spotify:track:5Bp7TFENcgsdLCL8fMOSKs","Supernova Ent, G.A, Ghard, Veigh, Niink","Adora a bunda, odeia o rosto (feat. Veigh & Niink)","Supernova Entertainment",9,32,11,"177592"
33,"spotify:track:5TOvA5Uhxti7FPh0EIdClV","MC LUUKY, DJ JB Mix","Malvadinho","EDITORA E GRAVADORA A BASE RECORDS",3,36,16,"169716"
34,"spotify:track:3cwVKjzKSTfvacYJF6Tkub","Léo Foguete","Última Noite - Solo","Sua Música Digital",17,37,16,"164847"
35,"spotify:track:4il87YHqSV9UqbBkXM7z7m","Tate McRae","Sports car","RCA Records Label",35,106,5,"161051"
36,"spotify:track:2drZGdAOxfE2KoMGTkidmq","MC Marks, MC Ryan SP, MC Jvila, MC Bruno MS, Mc Magal, Aaron Modesto, DJ Dael","365 Dias (Vida Mansa)","Legenda Records",16,38,21,"159915"
37,"spotify:track:5ZLUm9eab8y3tqQ1OhQSHI","Lady Gaga","Abracadabra","Interscope Records",14,29,4,"158916"
38,"spotify:track:6vBuEFImAx36hDYiYqBtkZ","Dillaz, Plutonio","Alô","Dillaz",1,42,54,"157273"
39,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",6,34,69,"156986"
40,"spotify:track:5VOhg3dqCqRGWwKXF6DLLW","Mizzy Miles, Van Zee, Bispo","Bênção (with Van Zee & Bispo)","Sony Music Entertainment",1,35,52,"155056"
41,"spotify:track:1X3ltingEVNGRoJf1dvZfQ","Plutonio","Somos Iguais","Bridgetown Records",5,47,213,"153441"
42,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",5,33,22,"152848"
43,"spotify:track:1yjYtmNf1DpfQMjBpVy5rg","Plutonio","Luxemburgo","Bridgetown Records",10,41,21,"152016"
44,"spotify:track:4VhSwcMCrXQgEfwls3s46o","Plutonio","Deja Vu","Bridgetown Records",2,49,16,"146745"
45,"spotify:track:6dBNHXIJLpsgPlLroF4tf1","Mc Dricka, DJ S2K","Vou Raspar Seu Bigodin","Som Livre",45,50,4,"142533"
46,"spotify:track:4TnEIYOXZ9KBGHOIqG5Xs5","PEDRO SAMPAIO, Marina Sena","ESCADA DO PRÉDIO","WM Brazil",8,44,21,"141932"
47,"spotify:track:6QlygEHWgXDeAwDtzksA5b","NAPA","Deslocado","NAPA",40,53,5,"141012"
48,"spotify:track:0UGGLKM970ymsBBN5TKjsD","MC Tuto, DJ Oreia","2025","Sonar Produtora",28,48,9,"137362"
49,"spotify:track:5wV5dO1GOI4srs4Um5cJXo","J. Eskine, Alef Donk","Resenha de Ex-Love","HITLAB BREGA",49,-1,1,"137043"
50,"spotify:track:5nPbKG04fhLkIAjcPFaZq7","HUGEL, Topic, Arash, Daecolm","I Adore You (feat. Daecolm)","Virgin",14,54,31,"136597"
51,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",12,40,8,"133459"
52,"spotify:track:2OMkXPz6pHdKJSkzxG0MwZ","Kew, Dj LK da Escócia","Descer","Legenda Records",52,-1,1,"129934"
53,"spotify:track:1M7pnSHpd4i5xFE2nUGq2W","Plutonio","Acordar","Bridgetown Records",24,64,40,"129411"
54,"spotify:track:6RjSXi9cPGroetXeNsWFGL","DJ TOPO, Seu Jorge, Mc Leozin, MC G15","MTG QUEM NÃO QUER SOU EU","DJ TOPO",1,52,41,"129118"
55,"spotify:track:7EUmkQTk9tt93C5J746OzL","Mizzy Miles, Slow J, ProfJam","Estrada (with Slow J & ProfJam)","Sony Music Entertainment",17,39,4,"128445"
56,"spotify:track:5G0kKNRYFCoORvJ2VzwvrY","Mc Livinho, DJ TOPO","MTG PASSA PASSA PRA EU SARRAR","Mc Livinho",32,66,21,"127885"
57,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",4,46,46,"127845"
58,"spotify:track:51rfRCiUSvxXlCSCfIztBy","Gracie Abrams","I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",20,43,30,"126981"
59,"spotify:track:6ejIcf1OdUmtOJ7fpFcEXo","Mc Negão Original, DJ Guh Mix","Medley de Igaratá 4","Cria Hit BR",59,61,3,"126193"
60,"spotify:track:4zww0H1u0yYvyBGixrRCb9","Dillaz","Mo Boy","Seventy Five",20,63,254,"124124"
61,"spotify:track:38adAyMqsOEwCdXETWCPPa","Bluay, Julinho Ksd","Faz Bem","Universal Music Portugal SA",17,57,58,"124013"
62,"spotify:track:7xeqjq45imp3qonWKqfyip","PEDRO SAMPAIO, Mc Gw, Mc Debby, Mc Talibã","SEQUÊNCIA STRIPTEASE","WM Brazil",62,73,5,"121901"
63,"spotify:track:1l0wjEdL5zYutUW8tVFiZO","Mc Negão Original, DJ Japa NK, DJ Guh Mix","Medley de Igaratá 3","Cria Hit BR",42,60,11,"121485"
64,"spotify:track:6Kyl2nFgU0J8WBlbBvDv6g","Grupo Menos É Mais","Coração Partido (Corazón Partío) - Ao Vivo","Som Livre",53,69,24,"120124"
65,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",62,62,18,"119257"
66,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",18,56,39,"118796"
67,"spotify:track:1BJJbSX6muJVF2AK7uH1x4","Adam Port, Stryv, Keinemusik, Orso, Malachiii","Move","Keinemusik",1,71,38,"116678"
68,"spotify:track:71Aj0joTSW4wv8olaHNBvK","Plutonio","Montanha","Bridgetown Records",20,82,16,"116253"
69,"spotify:track:2y5mEYDDPoQCgz55sP3eUz","Miguel Luz","Amor De Ganga","Miguel Luz",11,79,18,"114354"
70,"spotify:track:0vYrfm0eUQyi6fWbYnBiDc","DJ NATAN 22, Mc Rodrigo do CN","Meu Carro nao tem Porta Luva - Remastered 2024","DJ Natan 22",70,108,6,"113818"
71,"spotify:track:4xvEn1vhrF9JbPFWqTXsH4","Tate McRae, The Kid LAROI","I know love (feat. The Kid LAROI)","RCA Records Label",71,-1,1,"112177"
72,"spotify:track:0fPOFtS7ZylYKcC9b64cSj","Slow J","Tata","Slow J",1,76,66,"110899"
73,"spotify:track:2ETQsbiuGm2WLOSOr2I19A","Tate McRae","Dear god","RCA Records Label",73,-1,1,"110516"
74,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",6,58,27,"110435"
75,"spotify:track:19XpFsce28aByvCC4g89tJ","Hozier","Too Sweet","Rubyworks / Universal-Island Records Ltd",11,74,48,"110369"
76,"spotify:track:02iIJMe5jh7rdnTO6dcPQL","PEDRO SAMPAIO","POCPOC","WM Brazil",1,77,64,"109207"
77,"spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW","The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)","XO / Republic Records",21,67,68,"108603"
78,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",50,81,85,"107433"
79,"spotify:track:1Nmcs8zk7LfcvHRgLtTM5J","Orochi, Papatinho","Amor de Fim de Noite","Mainstreet Records",69,75,90,"106747"
80,"spotify:track:7DY756WOLyOz2Xnhw4EFiC","The Weeknd, Anitta","São Paulo (feat. Anitta)","XO / Republic Records",3,68,18,"102690"
81,"spotify:track:6Qyc6fS4DsZjB2mRW9DsQs","The Goo Goo Dolls","Iris","Warner Records",63,84,60,"101533"
82,"spotify:track:7ldcYtMOjtX1eFVEYzj2kJ","Luísa Sonza, KayBlack","Sagrado Profano","Sony Music Entertainment",1,80,39,"101248"
83,"spotify:track:1eTaznNW4Xxtx9za2SMTXB","Doechii","DENIAL IS A RIVER","Top Dawg Entertainment/Capitol Records",62,72,4,"100560"
84,"spotify:track:3WxetTBTlpfyknxJfPQ7eQ","MC Cebezinho, Dj Yuri Pedrada, Love Funk","Observando Essa Salada","Love Funk",84,89,3,"100551"
85,"spotify:track:5KZJORKMEkrsNRD4dfBw1X","Wet Bed Gang","Devia Ir","Responsablembrace",1,94,345,"99838"
86,"spotify:track:4eqOz5gdCYww9GB5q3q1pU","DJ Douglinhas, DJ Miller Oficial, MC Torugo","Puta É Só um Detalhe","DJ DOUGLINHAS",85,93,5,"97593"
